Sample	Species	RelativeAbundance	Type	Sample_type	Sampling place specific details	Location	Sampling_day	Individual
SL336585	Cutibacterium_acnes	3.783368974655439	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336585	Dermacoccus_nishinomiyaensis	0.28342525042718425	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336585	Gordonia_bronchialis	15.631158360021692	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336585	Janibacter_indicus	31.96954969150645	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336585	Micrococcus_luteus	3.765974645206839	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336585	Minor/Unclassified	38.30210880664667	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336585	Moraxella_osloensis	4.936306058342628	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336585	Xanthomonas_campestris	0.22101030358220863	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336588	Brevundimonas_diminuta	7.982086715780583	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Chryseobacterium_taklimakanense	2.354417906245601	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Cutibacterium_acnes	7.534107972408616	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Dermacoccus_nishinomiyaensis	0.04384472807470321	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Gordonia_bronchialis	0.14414504246633195	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Janibacter_indicus	1.2817617662240155	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Micrococcus_luteus	35.519362066538406	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Minor/Unclassified	41.12591502041199	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Moraxella_osloensis	3.0748498428041855	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336588	Xanthomonas_campestris	0.9395089390455632	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL336591	Brevundimonas_diminuta	0.3771037540755818	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Chryseobacterium_taklimakanense	0.15162963305628802	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Cutibacterium_acnes	14.224915575704308	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Dermacoccus_nishinomiyaensis	0.05277053896196238	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Gordonia_bronchialis	0.03974923714017945	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Janibacter_indicus	0.9654609969177208	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Micrococcus_luteus	31.024964919584896	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Minor/Unclassified	42.477713870599096	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Moraxella_osloensis	6.270099493025894	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Xanthomonas_campestris	4.415591980934073	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Brevundimonas_diminuta	0.5420800687464306	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Chryseobacterium_taklimakanense	0.4711427711490459	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Cutibacterium_acnes	17.705928209753186	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Dermacoccus_nishinomiyaensis	0.0978445484101856	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Gordonia_bronchialis	0.04998580190520352	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Janibacter_indicus	0.823064087115681	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Micrococcus_luteus	40.644519056821096	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Minor/Unclassified	26.099501524566953	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Moraxella_osloensis	9.436149519232304	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336600	Xanthomonas_campestris	4.1297844122999106	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336614	Brevundimonas_diminuta	7.970207388880204	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Chryseobacterium_taklimakanense	4.7102157261216195	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Cutibacterium_acnes	2.729469543014955	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Dermacoccus_nishinomiyaensis	0.03473850589686137	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Gordonia_bronchialis	0.02963628784325986	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Janibacter_indicus	0.8121211331700624	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Micrococcus_luteus	30.97111493234676	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Minor/Unclassified	22.375505879492117	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Moraxella_osloensis	5.47913084258246	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336614	Xanthomonas_campestris	24.887859760651693	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336615	Brevundimonas_diminuta	1.8809559988712092	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Chryseobacterium_taklimakanense	1.4308868966215873	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Cutibacterium_acnes	1.9920261069022656	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Dermacoccus_nishinomiyaensis	0.05010817577296836	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Gordonia_bronchialis	0.0369027720494063	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Janibacter_indicus	0.7404070882265685	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Micrococcus_luteus	40.93747512680805	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Minor/Unclassified	19.756731137980182	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Moraxella_osloensis	4.814364584916173	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
